person_id,name,age,gender,incident_id,location_id,incident_type,date,severity,alias,syndicate,role,city,primary_phone,primary_vehicle,status,is_suspect
P001,Aarav Sharma,27.0,Male,,,,,,,,,,,,,
P002,Vivaan Sharma,37.0,Male,,,,,,,,,,,,,
P003,Aditya Sharma,34.0,Male,,,,,,,,,,,,,
P004,Arjun Sharma,26.0,Male,,,,,,,,,,,,,
P005,Rohan Sharma,47.0,Male,,,,,,,,,,,,,
P006,Kabir Sharma,21.0,Male,,,,,,,,,,,,,
P007,Ishaan Sharma,33.0,Male,,,,,,,,,,,,,
P008,Nikhil Sharma,52.0,Male,,,,,,,,,,,,,
P009,Rahul Sharma,55.0,Male,,,,,,,,,,,,,
P010,Amit Sharma,54.0,Female,,,,,,,,,,,,,
P011,Sahil Sharma,34.0,Female,,,,,,,,,,,,,
P012,Kunal Sharma,37.0,Male,,,,,,,,,,,,,
P013,Manav Sharma,30.0,Female,,,,,,,,,,,,,
P014,Varun Sharma,41.0,Female,,,,,,,,,,,,,
P015,Ankit Sharma,29.0,Male,,,,,,,,,,,,,
P016,Suresh Sharma,41.0,Male,,,,,,,,,,,,,
P017,Vikram Sharma,25.0,Female,,,,,,,,,,,,,
P018,Raj Sharma,26.0,Female,,,,,,,,,,,,,
P019,Neeraj Sharma,42.0,Female,,,,,,,,,,,,,
P020,Mohit Sharma,22.0,Female,,,,,,,,,,,,,
P021,Aarav Patil,54.0,Male,,,,,,,,,,,,,
P022,Vivaan Patil,44.0,Male,,,,,,,,,,,,,
P023,Aditya Patil,55.0,Female,,,,,,,,,,,,,
P024,Arjun Patil,43.0,Male,,,,,,,,,,,,,
P025,Rohan Patil,24.0,Male,,,,,,,,,,,,,
P026,Kabir Patil,34.0,Female,,,,,,,,,,,,,
P027,Ishaan Patil,25.0,Male,,,,,,,,,,,,,
P028,Nikhil Patil,26.0,Female,,,,,,,,,,,,,
P029,Rahul Patil,37.0,Female,,,,,,,,,,,,,
P030,Amit Patil,43.0,Male,,,,,,,,,,,,,
P031,Sahil Patil,43.0,Female,,,,,,,,,,,,,
P032,Kunal Patil,33.0,Female,,,,,,,,,,,,,
P033,Manav Patil,24.0,Male,,,,,,,,,,,,,
P034,Varun Patil,54.0,Male,,,,,,,,,,,,,
P035,Ankit Patil,30.0,Female,,,,,,,,,,,,,
P036,Suresh Patil,44.0,Female,,,,,,,,,,,,,
P037,Vikram Patil,55.0,Male,,,,,,,,,,,,,
P038,Raj Patil,40.0,Male,,,,,,,,,,,,,
P039,Neeraj Patil,34.0,Male,,,,,,,,,,,,,
P040,Mohit Patil,40.0,Female,,,,,,,,,,,,,
P041,Aarav Kumar,37.0,Male,,,,,,,,,,,,,
P042,Vivaan Kumar,33.0,Female,,,,,,,,,,,,,
P043,Aditya Kumar,33.0,Female,,,,,,,,,,,,,
P044,Arjun Kumar,45.0,Female,,,,,,,,,,,,,
P045,Rohan Kumar,29.0,Female,,,,,,,,,,,,,
P046,Kabir Kumar,28.0,Male,,,,,,,,,,,,,
P047,Ishaan Kumar,55.0,Female,,,,,,,,,,,,,
P048,Nikhil Kumar,47.0,Female,,,,,,,,,,,,,
P049,Rahul Kumar,43.0,Male,,,,,,,,,,,,,
P050,Amit Kumar,28.0,Female,,,,,,,,,,,,,
P051,Sahil Kumar,25.0,Male,,,,,,,,,,,,,
P052,Kunal Kumar,27.0,Male,,,,,,,,,,,,,
P053,Manav Kumar,30.0,Female,,,,,,,,,,,,,
P054,Varun Kumar,24.0,Female,,,,,,,,,,,,,
P055,Ankit Kumar,44.0,Female,,,,,,,,,,,,,
P056,Suresh Kumar,53.0,Female,,,,,,,,,,,,,
P057,Vikram Kumar,55.0,Male,,,,,,,,,,,,,
P058,Raj Kumar,27.0,Female,,,,,,,,,,,,,
P059,Neeraj Kumar,41.0,Male,,,,,,,,,,,,,
P060,Mohit Kumar,38.0,Female,,,,,,,,,,,,,
P061,Aarav Singh,30.0,Female,,,,,,,,,,,,,
P062,Vivaan Singh,20.0,Female,,,,,,,,,,,,,
P063,Aditya Singh,52.0,Male,,,,,,,,,,,,,
P064,Arjun Singh,52.0,Male,,,,,,,,,,,,,
P065,Rohan Singh,39.0,Male,,,,,,,,,,,,,
P066,Kabir Singh,29.0,Female,,,,,,,,,,,,,
P067,Ishaan Singh,30.0,Male,,,,,,,,,,,,,
P068,Nikhil Singh,40.0,Female,,,,,,,,,,,,,
P069,Rahul Singh,21.0,Male,,,,,,,,,,,,,
P070,Amit Singh,43.0,Female,,,,,,,,,,,,,
P071,Sahil Singh,35.0,Male,,,,,,,,,,,,,
P072,Kunal Singh,35.0,Male,,,,,,,,,,,,,
P073,Manav Singh,25.0,Female,,,,,,,,,,,,,
P074,Varun Singh,24.0,Male,,,,,,,,,,,,,
P075,Ankit Singh,28.0,Female,,,,,,,,,,,,,
P076,Suresh Singh,55.0,Male,,,,,,,,,,,,,
P077,Vikram Singh,36.0,Female,,,,,,,,,,,,,
P078,Raj Singh,33.0,Male,,,,,,,,,,,,,
P079,Neeraj Singh,39.0,Female,,,,,,,,,,,,,
P080,Mohit Singh,43.0,Female,,,,,,,,,,,,,
P081,Aarav Verma,53.0,Female,,,,,,,,,,,,,
P082,Vivaan Verma,27.0,Male,,,,,,,,,,,,,
P083,Aditya Verma,34.0,Male,,,,,,,,,,,,,
P084,Arjun Verma,41.0,Male,,,,,,,,,,,,,
P085,Rohan Verma,55.0,Male,,,,,,,,,,,,,
P086,Kabir Verma,34.0,Male,,,,,,,,,,,,,
P087,Ishaan Verma,24.0,Male,,,,,,,,,,,,,
P088,Nikhil Verma,34.0,Male,,,,,,,,,,,,,
P089,Rahul Verma,22.0,Female,,,,,,,,,,,,,
P090,Amit Verma,24.0,Male,,,,,,,,,,,,,
P091,Sahil Verma,37.0,Female,,,,,,,,,,,,,
P092,Kunal Verma,33.0,Male,,,,,,,,,,,,,
P093,Manav Verma,50.0,Male,,,,,,,,,,,,,
P094,Varun Verma,50.0,Female,,,,,,,,,,,,,
P095,Ankit Verma,32.0,Male,,,,,,,,,,,,,
P096,Suresh Verma,26.0,Female,,,,,,,,,,,,,
P097,Vikram Verma,42.0,Female,,,,,,,,,,,,,
P098,Raj Verma,46.0,Female,,,,,,,,,,,,,
P099,Neeraj Verma,23.0,Male,,,,,,,,,,,,,
P100,Mohit Verma,23.0,Female,,,,,,,,,,,,,
