phone_id,phone_number,person_id,owner_person_id,carrier,imei,is_burner,status
PH001,9000000001,P007,,,,,
PH002,9000000002,P014,,,,,
PH003,9000000003,P021,,,,,
PH004,9000000004,P028,,,,,
PH005,9000000005,P035,,,,,
PH006,9000000006,P042,,,,,
PH007,9000000007,P049,,,,,
PH008,9000000008,P056,,,,,
PH009,9000000009,P063,,,,,
PH010,9000000010,P070,,,,,
PH011,9000000011,P077,,,,,
PH012,9000000012,P084,,,,,
PH013,9000000013,P091,,,,,
PH014,9000000014,P098,,,,,
PH015,9000000015,P005,,,,,
PH016,9000000016,P012,,,,,
PH017,9000000017,P019,,,,,
PH018,9000000018,P026,,,,,
PH019,9000000019,P033,,,,,
PH020,9000000020,P040,,,,,
PH021,9000000021,P047,,,,,
PH022,9000000022,P054,,,,,
PH023,9000000023,P061,,,,,
PH024,9000000024,P068,,,,,
PH025,9000000025,P075,,,,,
PH026,9000000026,P082,,,,,
PH027,9000000027,P089,,,,,
PH028,9000000028,P096,,,,,
PH029,9000000029,P003,,,,,
PH030,9000000030,P010,,,,,
PH031,9000000031,P017,,,,,
PH032,9000000032,P024,,,,,
PH033,9000000033,P031,,,,,
PH034,9000000034,P038,,,,,
PH035,9000000035,P045,,,,,
PH036,9000000036,P052,,,,,
PH037,9000000037,P059,,,,,
PH038,9000000038,P066,,,,,
PH039,9000000039,P073,,,,,
PH040,9000000040,P080,,,,,
PH041,9000000041,P087,,,,,
PH042,9000000042,P094,,,,,
PH043,9000000043,P001,,,,,
PH044,9000000044,P008,,,,,
PH045,9000000045,P015,,,,,
PH046,9000000046,P022,,,,,
PH047,9000000047,P029,,,,,
PH048,9000000048,P036,,,,,
PH049,9000000049,P043,,,,,
PH050,9000000050,P050,,,,,
PH051,9000000051,P057,,,,,
PH052,9000000052,P064,,,,,
PH053,9000000053,P071,,,,,
PH054,9000000054,P078,,,,,
PH055,9000000055,P085,,,,,
PH056,9000000056,P092,,,,,
PH057,9000000057,P099,,,,,
PH058,9000000058,P006,,,,,
PH059,9000000059,P013,,,,,
PH060,9000000060,P020,,,,,
PH061,9000099999,P001,,,,,
PH062,9000099999,P014,,,,,
PH063,9000088888,P002,,,,,
PH064,9000088888,P027,,,,,
